50.0,0.36,,87.555,21.46666666666667,0.08,3.61,36.019999999999996,5.156666666666666,0.355,0.015,0.27,2.095
51.0,21.95,66.31,19.314999999999998,21.717499999999998,,82.83666666666666,43.599999999999994,0.1,35.086666666666666,26.695,,
52.0,,22.28857142857143,29.045,0.04666666666666667,63.21,48.910000000000004,0.12,0.7866666666666666,0.43,,53.42,23.92
53.0,,,37.332499999999996,,135.70999999999998,10.39,15.916666666666666,2.5250000000000004,1.11,1.8,42.535,
54.0,15.173333333333334,15.79,0.44,20.31,,47.03,84.05499999999999,14.013333333333334,47.585,16.827500000000004,1.2550000000000001,
55.0,0.02,,177.4,,21.009999999999998,0.04,79.0,54.24,25.279999999999998,34.39,18.59333333333333,34.08
56.0,36.34,39.906,,114.94,92.62,17.52,122.86666666666667,31.36,25.823333333333334,0.03,153.71,56.45
57.0,50.58,0.02,23.05,4.3925,3.1075,42.47,52.42,21.525000000000002,53.07166666666666,35.035,0.01,2.68
58.0,9.206666666666667,0.01,6.1450000000000005,3.186666666666666,55.29,2.4066666666666667,53.914,0.17,12.786000000000001,5.637499999999999,27.5,144.0425
59.0,,,68.97500000000001,16.755,,215.07999999999998,2.38,1.74,9.456666666666667,,0.06,213.72
60.0,,43.25249999999999,,24.8,93.44,0.22666666666666668,102.53666666666668,0.04,12.55,41.265,51.465999999999994,
61.0,,,26.21,,,64.51,247.51999999999998,0.18000000000000002,50.84,0.28,,0.23
62.0,27.905999999999995,105.815,57.166666666666664,2.0,83.122,0.18,,34.580000000000005,3.625,,2.82,7.245
63.0,,,3.97,8.184000000000001,30.935,1.495,51.57,5.8,,2.2550000000000003,,12.24
64.0,,0.02,68.92500000000001,1.3099999999999998,,1.27,61.47,3.5125,21.75,21.756666666666664,337.14,2.0500000000000003
65.0,29.82,183.48499999999999,0.06,0.18000000000000002,74.26,35.32,,6.17,8.996666666666666,34.9,47.74833333333334,177.5666666666667
66.0,56.343333333333334,69.0,,0.45,259.2033333333333,13.41,18.075,19.994,2.03,14.549999999999999,163.1833333333333,
67.0,,0.35,101.775,106.47,195.025,6.055,6.763333333333333,2.12,0.07,13.735,44.46,10.64
68.0,0.38,2.2324999999999995,101.2,339.48,45.8875,5.535,80.225,1.0533333333333335,41.46333333333333,18.029999999999998,,27.064999999999998
69.0,20.974999999999998,,0.09,21.746666666666666,0.61,50.112500000000004,0.47000000000000003,0.825,84.6025,5.293333333333333,,128.0
70.0,,10.02,0.255,131.39499999999998,18.145,0.023333333333333334,108.36500000000001,0.8200000000000001,3.5,5.15,,
71.0,28.78,0.04,0.2,2.63,6.135,97.33333333333333,115.11,42.06166666666667,2.13,1.03,33.754999999999995,1.11
72.0,350.13,24.415,20.419999999999998,0.155,,17.47,2.955,161.2,,9.32,67.16999999999999,6.3950000000000005
73.0,0.58,0.455,,18.7,0.1,,334.2,17.513333333333332,10.725000000000001,,5.73,45.769999999999996
74.0,87.375,0.6566666666666666,0.69,1.855,0.9633333333333334,,6.74,6.3,65.175,3.49,241.87,0.88
75.0,,133.89,2.83,3.34,109.80333333333334,110.83,102.55666666666667,0.16499999999999998,4.218000000000001,,0.11,28.439999999999998
76.0,63.063333333333325,3.33,36.2,2.6825,1.22,294.78,2.73,112.16000000000001,2.265,11.31,0.03,19.68
77.0,53.14,,56.9,94.255,,248.44,,15.1925,7.385,,4.776666666666666,2.65
78.0,0.47,,341.27,17.01,,7.125,0.06,10.996666666666668,0.54,,0.31,
79.0,6.41,32.73,3.24,,3.22,,208.55,,,33.73800000000001,7.7,31.02
80.0,,,0.16,0.48666666666666664,,155.33999999999997,0.88,2.01,0.37000000000000005,228.43,,
81.0,10.105,,2.6,0.21,0.07,,6.3999999999999995,0.04,0.665,41.185,186.34666666666666,261.54
82.0,,1.03,0.23,110.02000000000001,1.33,,146.88,,,18.385,56.379999999999995,2.25
83.0,43.78,141.45,14.67,3.37,,,4.42,48.27,,1.27,0.09,0.03
84.0,,88.11,,2.52,,,1.6,24.21,,,,
85.0,,0.29,,,3.45,,0.7,1.29,,0.05,0.86,620.18
86.0,14.68,,0.14,,0.7,107.83,42.87,,,,0.92,
87.0,0.03,,,0.1,,29.04,,1.48,,,38.32,63.86
88.0,40.44,700.06,23.633333333333336,0.28,,6.05,,26.86,,6.62,42.34,54.51
89.0,52.08,,,,1.44,,,7.279999999999999,,,,
90.0,10.595,,,,153.64,,,,,,1.27,
91.0,,,,,,,,,,,,
92.0,,,,2.41,,,,,,,5.9,1.08
93.0,18.1,,,,,,,,,,45.06,76.28999999999999
94.0,,,,,,356.46,188.37,4.25,,3.96,,48.96
95.0,12.71,,,,,,,,,,,
96.0,,,,,,,,,,,,47.7
97.0,,,,,,,,,,,,
98.0,,,,,,,,,,,,
99.0,,,,,,,,,,,27.85,
100.0,,,,,,,,25.38,,,,
